callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
CFG711,,3c4aa9,D-ABUI,B763,,EDDF,2020-03-31 12:42:16+00:00,2020-04-01 04:12:34+00:00,2020-04-01 00:00:00+00:00,0.4255340058924788,105.2100030307112,11582.4,50.038511631852494,8.572750607052365,
CFG723,,3c4aa1,D-ABUA,B763,,EDDF,2020-03-31 13:01:03+00:00,2020-04-01 04:32:27+00:00,2020-04-01 00:00:00+00:00,0.40887451171875,105.2292852886653,11582.4,50.0401611328125,8.567203722502056,15.24
UAL2793,,a1cb0f,N2142U,B77W,VHHH,KORD,2020-03-31 13:16:55+00:00,2020-04-01 03:07:25+00:00,2020-04-01 00:00:00+00:00,22.3006633176642,113.91184488932291,0.0,41.94813537597656,-87.90554393421519,182.88
QTR7538,,06a144,A7-APC,A388,YPPH,OTHH,2020-03-31 13:25:40+00:00,2020-04-01 00:33:59+00:00,2020-04-01 00:00:00+00:00,-31.95542907714844,115.96063842773441,0.0,25.25944519042969,51.60359700520834,-7.62
PAC214,,abba93,N855GT,B748,RKSI,KCVG,2020-03-31 13:28:27+00:00,2020-04-01 04:43:12+00:00,2020-04-01 00:00:00+00:00,37.5076035321769,126.413169529127,304.8,39.04638775324417,-84.74188232421875,510.54
QTR807,,06a121,,,,OTHH,2020-03-31 13:29:42+00:00,2020-04-01 01:15:59+00:00,2020-04-01 00:00:00+00:00,35.8004150390625,140.3756332397461,3352.8,25.27560424804688,51.61567687988281,
QTR3454,,06a052,A7-BAA,B77W,KIAD,OTHH,2020-03-31 13:44:14+00:00,2020-04-01 02:04:44+00:00,2020-04-01 00:00:00+00:00,38.93389892578125,-77.45683752972144,0.0,25.26236323987023,51.60236862470519,-7.62
KLM601,KL601,485000,PH-BVK,B77W,EHAM,KLAX,2020-03-31 13:45:18+00:00,2020-04-01 01:02:10+00:00,2020-04-01 00:00:00+00:00,52.315241926807474,4.742935180664062,-304.8,33.95315396583686,-118.39147567749019,99.06
CLX7602,,4d012d,,,ELLX,SBGR,2020-03-31 13:50:52+00:00,2020-04-01 01:24:15+00:00,2020-04-01 00:00:00+00:00,49.61771431615797,6.1878451785525765,0.0,-23.438260353217693,-46.4849853515625,716.2800000000002
FDX5986,,ac1846,N879FD,,VHHH,,2020-03-31 13:54:21+00:00,2020-04-01 03:52:48+00:00,2020-04-01 00:00:00+00:00,22.30256652832031,113.9177357066761,0.0,35.58932546841896,-91.22462495844412,6240.780000000002
DLH9912,,3c64f9,D-AIGY,A343,EDDF,MROC,2020-03-31 13:56:44+00:00,2020-04-01 01:15:36+00:00,2020-04-01 00:00:00+00:00,50.03527625132415,8.537750244140625,-304.8,9.986013638771187,-84.22999941069503,952.5
TAM9518,,e49499,,,,FAOR,2020-03-31 14:01:13+00:00,2020-04-01 00:20:47+00:00,2020-04-01 00:00:00+00:00,-6.644726769398857,108.5955442231277,12192.0,-26.04136838751327,28.26676588792067,2019.3
SOO276,,aa7d2b,N775SA,B77L,VHHH,KCVG,2020-03-31 14:05:07+00:00,2020-04-01 04:12:15+00:00,2020-04-01 00:00:00+00:00,22.30320739746094,113.9197332208807,0.0,39.04638775324417,-84.73162841796875,464.82000000000016
LCO1308,,a6b8d6,N532LA,B763,SBBR,KMIA,2020-03-31 14:06:03+00:00,2020-04-01 04:22:05+00:00,2020-04-01 00:00:00+00:00,-15.86297607421875,-47.91860480057568,914.4,25.79196166992188,-80.17130533854163,579.12
PRBVB,,e49381,,,,KOAK,2020-03-31 14:08:48+00:00,2020-04-01 03:31:57+00:00,2020-04-01 00:00:00+00:00,5.081954956054688,-62.942768678826845,10668.0,37.72463006488347,-122.2134664784307,-53.34
KAL9210,KE9210,71c077,HL8077,B77L,KLAX,RKSI,2020-03-31 14:12:39+00:00,2020-04-01 03:19:51+00:00,2020-04-01 00:00:00+00:00,33.93402099609375,-118.41608164261801,0.0,37.31836868544757,126.5870998216712,1013.46
KLM862,KL862,485344,PH-BHL,B789,,EHAM,2020-03-31 14:18:28+00:00,2020-04-01 01:38:04+00:00,2020-04-01 00:00:00+00:00,35.773579225701795,140.3448486328125,3048.0,52.30254480394265,4.772186279296875,-114.3
ETH3725,,040159,,,VIDP,EBBR,2020-03-31 14:28:12+00:00,2020-04-01 15:47:59+00:00,2020-04-01 00:00:00+00:00,28.56472778320312,77.09587097167969,0.0,50.896725412142466,4.495391845703125,-15.24
N9627K,,ad66eb,N9627K,,UT08,KADS,2020-03-31 14:28:16+00:00,2020-04-01 02:22:04+00:00,2020-04-01 00:00:00+00:00,40.47819493180614,-111.9219069047408,1524.0,32.95526019597457,-96.83069345902423,213.36
TAP3109,,4952a4,N280MB,AC50,LPPT,SBGR,2020-03-31 14:28:40+00:00,2020-04-01 00:21:18+00:00,2020-04-01 00:00:00+00:00,38.75431823730469,-9.149581245754064,304.8,-23.43784138307734,-46.483408610026,693.4200000000002
THY6476,,4ba893,TC-JDS,A332,LTBA,,2020-03-31 14:30:43+00:00,2020-04-01 01:43:46+00:00,2020-04-01 00:00:00+00:00,40.969482421875,28.8182373046875,0.0,13.178985078456039,102.0617836400082,12496.8
QTR8155,,06a2e2,,,LSZM,SBGR,2020-03-31 14:33:48+00:00,2020-04-01 02:07:37+00:00,2020-04-01 00:00:00+00:00,47.59361137778071,7.5266911433293275,0.0,-23.44021554720604,-46.4923095703125,739.14
KAL9575,,71c076,HL8076,B77L,RKSI,VIDP,2020-03-31 14:35:33+00:00,2020-04-01 01:30:59+00:00,2020-04-01 00:00:00+00:00,37.50247192382812,126.41786615899271,304.8,28.56375484143273,77.10000430836395,
QTR7453,,06a122,,,OTHH,KIAD,2020-03-31 14:39:39+00:00,2020-04-01 04:04:59+00:00,2020-04-01 00:00:00+00:00,25.27190644862288,51.619521806824885,-304.8,38.950350486626064,-77.45394897460938,
BAW16,BA16,406b0a,G-STBK,B77W,WSSS,EGLL,2020-03-31 14:41:48+00:00,2020-04-01 04:03:10+00:00,2020-04-01 00:00:00+00:00,1.399593029992055,103.9982394514413,304.8,51.47749328613281,-0.4914154877533861,-45.72
AAR283,,71bc13,HL7413,B744,KSFO,RKSI,2020-03-31 14:44:10+00:00,2020-04-01 02:39:13+00:00,2020-04-01 00:00:00+00:00,37.625660007282846,-122.3860831882643,-304.8,37.319206625728285,126.58644303031592,990.6
GTI8527,,a61c53,N493MC,B744,EDDF,RKSI,2020-03-31 14:47:54+00:00,2020-04-01 01:49:10+00:00,2020-04-01 00:00:00+00:00,50.0385349079714,8.555120519689611,-304.8,37.322465282375525,126.5834576150645,982.98
BAW193,BA193,4007f9,G-YMMN,B772,EGLL,KDFW,2020-03-31 14:48:29+00:00,2020-04-01 00:04:35+00:00,2020-04-01 00:00:00+00:00,51.46480237023305,-0.4418182373046875,-304.8,32.84530381024894,-97.02631736288264,350.52
BAW5,BA5,406f72,G-ZBKF,B789,EGLL,RJTT,2020-03-31 14:56:21+00:00,2020-04-01 01:34:26+00:00,2020-04-01 00:00:00+00:00,51.46489547470868,-0.444183349609375,-304.8,35.47908976926642,139.826445883893,403.86
PAC716,,a57362,N450PA,B744,,KLAX,2020-03-31 14:58:33+00:00,2020-04-01 01:27:55+00:00,2020-04-01 00:00:00+00:00,33.08839959613347,129.470065369898,9448.8,33.93777465820312,-118.3790868642379,68.58
